"mon_first","id","firstpurchase","lastpurchase","purchases","monetary","f3m","m3m","r","lifetime","f_btts","bt","rfm_recency","rfm_frequency","rfm_monetary"
2019-12-01,3201114,2019-12-16,2019-12-16,1,128.94,1,128.94,15,0,"1",,3,1,1
2019-12-01,186089724,2019-12-16,2019-12-16,1,136.02,1,136.02,15,0,"1",,3,1,1
2019-12-01,717888,2019-12-16,2019-12-16,1,161.7,1,161.7,15,0,"1",,3,1,1
2019-12-01,3290052,2019-12-30,2019-12-30,1,173.64,1,173.64,1,0,"1",,1,1,1
2019-12-01,3519420,2019-12-23,2019-12-23,1,201.0,1,201.0,8,0,"1",,2,2,1
2019-12-01,2521392,2019-12-23,2019-12-30,2,225.36,2,225.36,1,7,"2",,1,4,1
2019-12-01,3290940,2019-12-23,2019-12-23,1,284.64,1,284.64,8,0,"1",,3,3,1
2019-12-01,2525586,2019-12-09,2019-12-09,1,284.64,1,284.64,22,0,"1",,5,1,1
2019-12-01,4512378,2019-12-09,2019-12-09,1,284.64,1,284.64,22,0,"1",,4,2,1
2019-12-01,4317798,2019-12-09,2019-12-09,1,286.8,1,286.8,22,0,"1",,5,2,1
2019-12-01,3291840,2019-12-09,2019-12-09,1,331.32,1,331.32,22,0,"1",,5,1,1
2019-12-01,712644,2019-12-16,2019-12-23,2,342.78,2,342.78,8,7,"2",,2,3,1
2019-12-01,713700,2019-12-23,2019-12-23,1,391.5,1,391.5,8,0,"1",,3,3,1
2019-12-01,186105738,2019-12-02,2019-12-02,1,397.38,1,397.38,29,0,"1",,5,3,1
2019-12-01,4264932,2019-12-23,2019-12-23,1,404.64,1,404.64,8,0,"1",,2,2,1
2019-12-01,1121478,2019-12-23,2019-12-23,1,405.54,1,405.54,8,0,"1",,2,2,1
2019-12-01,4280382,2019-12-23,2019-12-23,1,407.58,1,407.58,8,0,"1",,2,2,1
2019-12-01,709122,2019-12-09,2019-12-09,1,407.58,1,407.58,22,0,"1",,4,2,1
2019-12-01,4060662,2019-12-09,2019-12-09,1,407.58,1,407.58,22,0,"1",,4,3,1
2019-12-01,3291192,2019-12-02,2019-12-02,1,407.58,1,407.58,29,0,"1",,5,2,1
2019-12-01,3285990,2019-12-16,2019-12-16,1,407.58,1,407.58,15,0,"1",,3,1,1
2019-12-01,3795060,2019-12-02,2019-12-02,1,407.58,1,407.58,29,0,"1",,5,1,1
2019-12-01,840936,2019-12-02,2019-12-02,1,407.58,1,407.58,29,0,"1",,5,1,1
2019-12-01,712482,2019-12-16,2019-12-16,1,407.58,1,407.58,15,0,"1",,3,1,1
2019-12-01,722280,2019-12-02,2019-12-02,1,409.26,1,409.26,29,0,"1",,5,1,1
