"date_customer_key","mon_first","id_integrador_loja","firstpurchase","lastpurchase","f","m","discount","f12m","m12m","r","rfm_recency","rfm_frequency","rfm_monetary","churn"
"202004010",2020-04-01,0,2020-04-29,2020-04-29,1,12836.2800,0.0000,1,12836.2800,1,5,4,3,1
"202005010",2020-05-01,0,2020-04-29,2020-04-29,0,0,0,1,12836.2800,32,3,2,2,0
"202006010",2020-06-01,0,2020-04-29,2020-06-02,1,2675.3700,0.0000,2,15511.6500,28,3,4,2,1
"202007010",2020-07-01,0,2020-04-29,2020-06-02,0,0,0,2,15511.6500,59,2,3,2,1
"202008010",2020-08-01,0,2020-04-29,2020-06-02,0,0,0,2,15511.6500,90,1,3,2,1
"202009010",2020-09-01,0,2020-04-29,2020-06-02,0,0,0,2,15511.6500,120,1,3,2,0
"202010010",2020-10-01,0,2020-04-29,2020-10-04,1,32506.8400,-1710.8900,3,48018.4900,27,3,4,3,0
"202011010",2020-11-01,0,2020-04-29,2020-11-29,1,16201.2500,-852.7000,4,64219.7400,1,5,4,4,1
"202012010",2020-12-01,0,2020-04-29,2020-11-29,0,0,0,4,64219.7400,32,3,4,4,1
"202101010",2021-01-01,0,2020-04-29,2020-11-29,0,0,0,4,64219.7400,63,3,4,3,0
"202102010",2021-02-01,0,2020-04-29,2021-02-03,1,11313.5200,-1425.7500,5,75533.2600,25,4,4,4,0
"202103010",2021-03-01,0,2020-04-29,2021-03-18,1,12757.8100,0.0000,6,88291.0700,13,5,4,4,1
"202104010",2021-04-01,0,2020-04-29,2021-03-18,0,0,0,5,75454.7900,43,3,4,4,1
"202105010",2021-05-01,0,2020-04-29,2021-03-18,0,0,0,5,75454.7900,74,3,4,4,1
"202106010",2021-06-01,0,2020-04-29,2021-03-18,0,0,0,4,72779.4200,104,2,4,3,1
"202107010",2021-07-01,0,2020-04-29,2021-03-18,0,0,0,4,72779.4200,135,2,4,3,1
"202108010",2021-08-01,0,2020-04-29,2021-03-18,0,0,0,4,72779.4200,166,2,4,3,1
"202109010",2021-09-01,0,2020-04-29,2021-03-18,0,0,0,4,72779.4200,196,2,4,3,1
"202110010",2021-10-01,0,2020-04-29,2021-03-18,0,0,0,3,40272.5800,227,1,3,2,1
"202111010",2021-11-01,0,2020-04-29,2021-03-18,0,0,0,2,24071.3300,257,1,3,2,1
"202112010",2021-12-01,0,2020-04-29,2021-03-18,0,0,0,2,24071.3300,288,1,3,2,
"2020050121",2020-05-01,21,2020-05-28,2020-05-28,1,14160.2000,0.0000,1,14160.2000,3,5,3,2,0
"2020060121",2020-06-01,21,2020-05-28,2020-06-23,1,4361.7400,0.0000,2,18521.9400,7,4,4,3,1
"2020070121",2020-07-01,21,2020-05-28,2020-06-23,0,0,0,2,18521.9400,38,2,3,2,1
"2020080121",2020-08-01,21,2020-05-28,2020-06-23,0,0,0,2,18521.9400,69,1,3,2,1
"2020090121",2020-09-01,21,2020-05-28,2020-06-23,0,0,0,2,18521.9400,99,1,3,2,1
"2020100121",2020-10-01,21,2020-05-28,2020-06-23,0,0,0,2,18521.9400,130,1,3,2,1
"2020110121",2020-11-01,21,2020-05-28,2020-06-23,0,0,0,2,18521.9400,160,1,3,2,0
"2020120121",2020-12-01,21,2020-05-28,2020-12-01,1,22425.6800,-1180.3000,3,40947.6200,30,3,4,3,0
"2021010121",2021-01-01,21,2020-05-28,2021-01-28,3,72306.5200,-3197.1400,6,113254.1400,3,5,5,4,0
"2021020121",2021-02-01,21,2020-05-28,2021-02-02,1,11327.1400,0.0000,7,124581.2800,26,4,5,4,1
"2021030121",2021-03-01,21,2020-05-28,2021-02-02,0,0,0,7,124581.2800,57,3,4,4,0
"2021040121",2021-04-01,21,2020-05-28,2021-04-28,1,16587.8000,-873.0400,8,141169.0800,2,5,5,4,0
"2021050121",2021-05-01,21,2020-05-28,2021-05-29,4,39637.5600,-314.3400,11,166646.4400,2,5,5,4,1
"2021060121",2021-06-01,21,2020-05-28,2021-05-29,0,0,0,10,162284.7000,32,4,5,4,0
"2021070121",2021-07-01,21,2020-05-28,2021-07-19,3,79058.6600,0.0000,13,241343.3600,12,4,5,5,0
"2021080121",2021-08-01,21,2020-05-28,2021-08-27,3,76194.4200,-2642.2800,16,317537.7800,4,5,5,5,0
"2021090121",2021-09-01,21,2020-05-28,2021-09-21,4,72694.6300,-1406.6100,20,390232.4100,9,4,5,5,0
"2021100121",2021-10-01,21,2020-05-28,2021-10-25,3,66633.1100,-1071.8200,23,456865.5200,6,4,5,5,0
"2021110121",2021-11-01,21,2020-05-28,2021-11-18,1,10991.8100,-578.5200,24,467857.3300,12,4,5,5,1
"2021120121",2021-12-01,21,2020-05-28,2021-11-18,0,0,0,23,445431.6500,43,4,5,5,
"2020040130",2020-04-01,30,2020-04-15,2020-04-15,1,37121.0100,-1953.7400,1,37121.0100,15,4,3,5,0
"2020050130",2020-05-01,30,2020-04-15,2020-05-13,2,33402.5300,-1758.0300,3,70523.5400,18,4,5,5,1
"2020060130",2020-06-01,30,2020-04-15,2020-05-13,0,0,0,3,70523.5400,48,2,4,5,0
"2020070130",2020-07-01,30,2020-04-15,2020-07-03,1,13975.1200,-735.5300,4,84498.6600,28,3,4,5,0
"2020080130",2020-08-01,30,2020-04-15,2020-08-11,2,50093.5800,-2636.5100,6,134592.2400,20,3,5,5,0
"2020090130",2020-09-01,30,2020-04-15,2020-09-16,2,84026.5900,-4422.4600,8,218618.8300,14,4,5,5,1
"2020100130",2020-10-01,30,2020-04-15,2020-09-16,0,0,0,8,218618.8300,45,3,5,5,1
"2020110130",2020-11-01,30,2020-04-15,2020-09-16,0,0,0,8,218618.8300,75,2,5,5,1
"2020120130",2020-12-01,30,2020-04-15,2020-09-16,0,0,0,8,218618.8300,106,2,5,5,1
"2021010130",2021-01-01,30,2020-04-15,2020-09-16,0,0,0,8,218618.8300,137,1,5,5,1
"2021020130",2021-02-01,30,2020-04-15,2020-09-16,0,0,0,8,218618.8300,165,1,5,5,1
"2021030130",2021-03-01,30,2020-04-15,2020-09-16,0,0,0,8,218618.8300,196,1,5,5,1
"2021040130",2021-04-01,30,2020-04-15,2020-09-16,0,0,0,7,181497.8200,226,1,4,4,1
"2021050130",2021-05-01,30,2020-04-15,2020-09-16,0,0,0,5,148095.2900,257,1,4,4,0
"2021060130",2021-06-01,30,2020-04-15,2021-06-18,1,12826.4600,-969.0600,6,160921.7500,12,4,4,4,1
"2021070130",2021-07-01,30,2020-04-15,2021-06-18,0,0,0,5,146946.6300,43,3,4,4,1
"2021080130",2021-08-01,30,2020-04-15,2021-06-18,0,0,0,3,96853.0500,74,3,3,4,0
"2021090130",2021-09-01,30,2020-04-15,2021-09-15,2,35290.5600,0.0000,3,48117.0200,15,4,3,3,1
"2021100130",2021-10-01,30,2020-04-15,2021-09-15,0,0,0,3,48117.0200,46,3,3,3,0
"2021110130",2021-11-01,30,2020-04-15,2021-11-30,1,27626.2800,-1454.0200,4,75743.3000,0,5,3,3,1
"2021120130",2021-12-01,30,2020-04-15,2021-11-30,0,0,0,4,75743.3000,31,4,4,3,
"2021070131",2021-07-01,31,2021-07-21,2021-07-21,1,63153.0400,-4357.4900,1,63153.0400,10,5,2,3,1
"2021080131",2021-08-01,31,2021-07-21,2021-07-21,0,0,0,1,63153.0400,41,3,2,3,1
"2021090131",2021-09-01,31,2021-07-21,2021-07-21,0,0,0,1,63153.0400,71,3,2,3,0
"2021100131",2021-10-01,31,2021-07-21,2021-10-31,7,162873.3000,-500.9300,8,226026.3400,0,5,4,4,0
"2021110131",2021-11-01,31,2021-07-21,2021-11-18,3,63877.3500,0.0000,11,289903.6900,12,4,5,5,1
"2021120131",2021-12-01,31,2021-07-21,2021-11-18,0,0,0,11,289903.6900,43,4,5,5,
"2020090133",2020-09-01,33,2020-09-10,2020-09-21,2,25541.5800,0.0000,2,25541.5800,9,4,3,3,0
"2020100133",2020-10-01,33,2020-09-10,2020-10-23,2,53576.2000,-3397.1700,4,79117.7800,8,4,4,4,0
"2020110133",2020-11-01,33,2020-09-10,2020-11-18,2,38287.8700,-287.9000,6,117405.6500,12,4,5,4,1
"2020120133",2020-12-01,33,2020-09-10,2020-11-18,0,0,0,6,117405.6500,43,3,5,4,1
"2021010133",2021-01-01,33,2020-09-10,2020-11-18,0,0,0,6,117405.6500,74,2,4,4,1
"2021020133",2021-02-01,33,2020-09-10,2020-11-18,0,0,0,6,117405.6500,102,2,4,4,1
"2021030133",2021-03-01,33,2020-09-10,2020-11-18,0,0,0,6,117405.6500,133,2,4,4,1
"2021040133",2021-04-01,33,2020-09-10,2020-11-18,0,0,0,6,117405.6500,163,2,4,4,1
"2021050133",2021-05-01,33,2020-09-10,2020-11-18,0,0,0,6,117405.6500,194,1,4,4,1
"2021060133",2021-06-01,33,2020-09-10,2020-11-18,0,0,0,6,117405.6500,224,1,4,4,1
"2021070133",2021-07-01,33,2020-09-10,2020-11-18,0,0,0,6,117405.6500,255,1,4,4,1
"2021080133",2021-08-01,33,2020-09-10,2020-11-18,0,0,0,6,117405.6500,286,1,4,4,1
"2021090133",2021-09-01,33,2020-09-10,2020-11-18,0,0,0,4,91864.0700,316,1,4,4,1
"2021100133",2021-10-01,33,2020-09-10,2020-11-18,0,0,0,2,38287.8700,347,1,2,2,1
"2021110133",2021-11-01,33,2020-09-10,2020-11-18,0,0,0,0,0,377,1,1,1,1
"2021120133",2021-12-01,33,2020-09-10,2020-11-18,0,0,0,0,0,408,1,1,1,
"2020040141",2020-04-01,41,2020-04-17,2020-04-17,1,8570.7700,-645.1100,1,8570.7700,13,4,3,1,1
"2020050141",2020-05-01,41,2020-04-17,2020-04-17,0,0,0,1,8570.7700,44,2,1,1,0
"2020060141",2020-06-01,41,2020-04-17,2020-06-12,1,13320.2400,-701.0700,2,21891.0100,18,3,4,3,0
"2020070141",2020-07-01,41,2020-04-17,2020-07-10,2,17829.3800,-697.3200,4,39720.3900,21,3,5,4,0
"2020080141",2020-08-01,41,2020-04-17,2020-08-20,2,23781.4900,-459.2100,6,63501.8800,11,4,5,4,0
"2020090141",2020-09-01,41,2020-04-17,2020-09-10,1,14386.7800,0.0000,7,77888.6600,20,3,5,4,1
"2020100141",2020-10-01,41,2020-04-17,2020-09-10,0,0,0,7,77888.6600,51,2,5,4,1
"2020110141",2020-11-01,41,2020-04-17,2020-09-10,0,0,0,7,77888.6600,81,2,5,4,1
"2020120141",2020-12-01,41,2020-04-17,2020-09-10,0,0,0,7,77888.6600,112,2,5,4,0
"2021010141",2021-01-01,41,2020-04-17,2021-01-14,3,45884.1200,-1463.0200,10,123772.7800,17,4,5,4,0
"2021020141",2021-02-01,41,2020-04-17,2021-02-12,2,10716.5800,-237.8700,12,134489.3600,16,4,5,4,0
"2021030141",2021-03-01,41,2020-04-17,2021-03-09,1,15726.0900,0.0000,13,150215.4500,22,4,5,4,1
"2021040141",2021-04-01,41,2020-04-17,2021-03-09,0,0,0,12,141644.6800,52,3,5,4,0
"2021050141",2021-05-01,41,2020-04-17,2021-05-27,3,57863.9000,-1410.5000,15,199508.5800,4,5,5,5,1
"2021060141",2021-06-01,41,2020-04-17,2021-05-27,0,0,0,14,186188.3400,34,3,5,4,1
"2021070141",2021-07-01,41,2020-04-17,2021-05-27,0,0,0,12,168358.9600,65,3,5,4,1
"2021080141",2021-08-01,41,2020-04-17,2021-05-27,0,0,0,10,144577.4700,96,2,5,4,0
"2021090141",2021-09-01,41,2020-04-17,2021-09-22,2,66391.3400,-2295.3700,11,196582.0300,8,4,5,4,0
"2021100141",2021-10-01,41,2020-04-17,2021-10-27,2,12079.4800,0.0000,13,208661.5100,4,4,5,4,0
"2021110141",2021-11-01,41,2020-04-17,2021-11-23,1,12077.6900,-1341.9700,14,220739.2000,7,4,5,4,1
"2021120141",2021-12-01,41,2020-04-17,2021-11-23,0,0,0,14,220739.2000,38,4,5,4,
"2020060144",2020-06-01,44,2020-06-08,2020-06-08,1,18031.6300,0.0000,1,18031.6300,22,3,2,3,1
"2020070144",2020-07-01,44,2020-06-08,2020-06-08,0,0,0,1,18031.6300,53,2,1,2,1
"2020080144",2020-08-01,44,2020-06-08,2020-06-08,0,0,0,1,18031.6300,84,1,1,2,1
"2020090144",2020-09-01,44,2020-06-08,2020-06-08,0,0,0,1,18031.6300,114,1,1,2,0
"2020100144",2020-10-01,44,2020-06-08,2020-10-20,1,20704.6500,-1089.7200,2,38736.2800,11,4,3,3,1
"2020110144",2020-11-01,44,2020-06-08,2020-10-20,0,0,0,2,38736.2800,41,3,3,3,1
"2020120144",2020-12-01,44,2020-06-08,2020-10-20,0,0,0,2,38736.2800,72,2,3,3,1
"2021010144",2021-01-01,44,2020-06-08,2020-10-20,0,0,0,2,38736.2800,103,2,3,3,1
"2021020144",2021-02-01,44,2020-06-08,2020-10-20,0,0,0,2,38736.2800,131,2,3,3,1
"2021030144",2021-03-01,44,2020-06-08,2020-10-20,0,0,0,2,38736.2800,162,1,2,3,1
"2021040144",2021-04-01,44,2020-06-08,2020-10-20,0,0,0,2,38736.2800,192,1,2,3,1
"2021050144",2021-05-01,44,2020-06-08,2020-10-20,0,0,0,2,38736.2800,223,1,2,3,1
"2021060144",2021-06-01,44,2020-06-08,2020-10-20,0,0,0,1,20704.6500,253,1,1,2,1
"2021070144",2021-07-01,44,2020-06-08,2020-10-20,0,0,0,1,20704.6500,284,1,2,2,1
"2021080144",2021-08-01,44,2020-06-08,2020-10-20,0,0,0,1,20704.6500,315,1,1,2,1
"2021090144",2021-09-01,44,2020-06-08,2020-10-20,0,0,0,1,20704.6500,345,1,1,2,1
"2021100144",2021-10-01,44,2020-06-08,2020-10-20,0,0,0,0,0,376,1,1,1,1
"2021110144",2021-11-01,44,2020-06-08,2020-10-20,0,0,0,0,0,406,1,1,1,1
"2021120144",2021-12-01,44,2020-06-08,2020-10-20,0,0,0,0,0,437,1,1,1,
"2019120145",2019-12-01,45,2019-12-05,2019-12-05,1,17099.8700,-899.9900,1,17099.8700,26,3,4,4,1
"2020010145",2020-01-01,45,2019-12-05,2019-12-05,0,0,0,1,17099.8700,57,2,1,3,1
"2020020145",2020-02-01,45,2019-12-05,2019-12-05,0,0,0,1,17099.8700,86,2,2,3,1
"2020030145",2020-03-01,45,2019-12-05,2019-12-05,0,0,0,1,17099.8700,117,2,2,3,1
"2020040145",2020-04-01,45,2019-12-05,2019-12-05,0,0,0,1,17099.8700,147,1,1,3,1
"2020050145",2020-05-01,45,2019-12-05,2019-12-05,0,0,0,1,17099.8700,178,1,4,3,1
"2020060145",2020-06-01,45,2019-12-05,2019-12-05,0,0,0,1,17099.8700,208,1,1,2,1
"2020070145",2020-07-01,45,2019-12-05,2019-12-05,0,0,0,1,17099.8700,239,1,1,2,1
"2020080145",2020-08-01,45,2019-12-05,2019-12-05,0,0,0,1,17099.8700,270,1,1,2,1
"2020090145",2020-09-01,45,2019-12-05,2019-12-05,0,0,0,1,17099.8700,300,1,1,2,1
"2020100145",2020-10-01,45,2019-12-05,2019-12-05,0,0,0,1,17099.8700,331,1,1,2,1
"2020110145",2020-11-01,45,2019-12-05,2019-12-05,0,0,0,1,17099.8700,361,1,2,2,1
"2020120145",2020-12-01,45,2019-12-05,2019-12-05,0,0,0,0,0,392,1,1,1,1
"2021010145",2021-01-01,45,2019-12-05,2019-12-05,0,0,0,0,0,423,1,1,1,1
"2021020145",2021-02-01,45,2019-12-05,2019-12-05,0,0,0,0,0,451,1,1,1,1
"2021030145",2021-03-01,45,2019-12-05,2019-12-05,0,0,0,0,0,482,1,1,1,1
"2021040145",2021-04-01,45,2019-12-05,2019-12-05,0,0,0,0,0,512,1,1,1,0
"2021050145",2021-05-01,45,2019-12-05,2021-05-07,1,5463.1200,-287.5300,1,5463.1200,24,4,2,1,1
"2021060145",2021-06-01,45,2019-12-05,2021-05-07,0,0,0,1,5463.1200,54,3,2,1,0
"2021070145",2021-07-01,45,2019-12-05,2021-07-02,1,16764.4900,-882.3400,2,22227.6100,29,4,3,2,1
"2021080145",2021-08-01,45,2019-12-05,2021-07-02,0,0,0,2,22227.6100,60,3,3,2,1
"2021090145",2021-09-01,45,2019-12-05,2021-07-02,0,0,0,2,22227.6100,90,2,3,2,1
"2021100145",2021-10-01,45,2019-12-05,2021-07-02,0,0,0,2,22227.6100,121,2,3,2,1
"2021110145",2021-11-01,45,2019-12-05,2021-07-02,0,0,0,2,22227.6100,151,2,2,2,1
"2021120145",2021-12-01,45,2019-12-05,2021-07-02,0,0,0,2,22227.6100,182,2,3,2,
"2020070146",2020-07-01,46,2020-07-23,2020-07-23,2,54782.1700,-500.0000,2,54782.1700,8,4,4,4,0
"2020080146",2020-08-01,46,2020-07-23,2020-08-25,6,234752.8700,-3324.8300,8,289535.0400,6,4,5,5,0
"2020090146",2020-09-01,46,2020-07-23,2020-09-10,1,10675.2000,0.0000,9,300210.2400,20,3,5,5,0
"2020100146",2020-10-01,46,2020-07-23,2020-10-05,1,26798.8100,-1369.6100,10,327009.0500,26,3,5,5,0
"2020110146",2020-11-01,46,2020-07-23,2020-11-26,3,47566.3100,0.0000,13,374575.3600,4,5,5,5,0
"2020120146",2020-12-01,46,2020-07-23,2020-12-15,3,53085.1000,0.0000,16,427660.4600,16,4,5,5,0
"2021010146",2021-01-01,46,2020-07-23,2021-01-25,2,44959.5200,0.0000,18,472619.9800,6,5,5,5,0
"2021020146",2021-02-01,46,2020-07-23,2021-02-24,2,25081.2700,-304.6400,20,497701.2500,4,5,5,5,0
"2021030146",2021-03-01,46,2020-07-23,2021-03-30,5,98690.9900,0.0000,25,596392.2400,1,5,5,5,0
